bool_band,33,0.164,23,0.177
bool_bor,33,0.174,23,0.177
bool_impl,33,0.164,24,0.168
list_append,106,0.257,103,0.259
list_concat,113,0.478,107,0.336
list_drop,146,0.33,69,0.384
list_filter,189,0.329,153,0.318
list_fst,54,0.241,46,0.254
list_hd,26,0.184,17,0.18
list_inc,86,0.256,18,0.249
list_last,50,0.248,46,0.244
list_length,31,0.242,28,0.259
list_map_2,112,0.286,90,0.279
list_nth,128,0.282,114,0.286
list_sort_sorted_insert,122,0.379,98,0.375
list_sorted_insert,241,1.748,230,9.469
list_stutter,55,0.248,46,0.243
list_take,197,0.338,137,0.309
list_tl,32,0.195,29,0.186
list_unzip,76,0.248,70,0.253
nat_div2,40,0.224,35,0.219
nat_iseven,27,0.225,23,0.218
nat_pred,20,0.167,18,0.158
tree_collect_leaves,111,0.668,101,0.655
tree_count_leaves,155,0.441,126,0.438
tree_count_nodes,108,0.525,86,0.541
tree_inorder,104,0.671,90,0.654
