test,timesall,timesbase,timesunsound,timesraw,timepall,timepbase,timepunsound,hitall,hitbase,hitunsound,hitraw
bool-band,0.136,0.138,0.137,0.139,97.84172662,99.28057554,98.56115108,{---},{---},{---},{---}
bool-bor,0.138,0.139,0.136,0.14,98.57142857,99.28571429,97.14285714,{---},{---},{---},{---}
bool-impl,0.141,0.139,0.136,0.139,101.4388489,100,97.84172662,{---},{---},{---},{---}
bool-neg,0.135,0.136,0.133,0.136,99.26470588,100,97.79411765,{---},{---},{---},{---}
bool-xor,0.139,0.141,0.139,0.141,98.58156028,100,98.58156028,{---},{---},{---},{---}
list-append,0.22,0.225,0.224,0.207,106.2801932,108.6956522,108.2125604,0,0,0,9.5607
list-concat,0.254,0.253,0.256,0.253,100.3952569,100,101.1857708,83.1438,83.1438,83.1438,84.0108
list-drop,0.347,0.345,0.357,0.228,152.1929825,151.3157895,156.5789474,0,0,0,12.2642
list-even-parity,0.247,0.248,0.263,0.221,111.7647059,112.2171946,119.0045249,0,0,0,26.9373
list-filter,0.557,0.411,0.649,0.25,222.8,164.4,259.6,4.7265,11.2703,4.7265,27.2258
list-filter-3,{timeout},0.432,0.699,0.261,{---},165.5172414,267.816092,5.878,12.1202,6.0614,25.2654
list-fst,0.195,0.196,0.199,0.192,101.5625,102.0833333,103.6458333,0,0,0,11.4583
list-hd,0.151,0.153,0.151,0.15,100.6666667,102,100.6666667,{---},{---},{---},{---}
list-inc,0.2,0.201,0.205,0.199,100.5025126,101.0050251,103.0150754,27.9817,27.9817,27.9817,27.9817
list-last,0.205,0.207,0.211,0.196,104.5918367,105.6122449,107.6530612,0,0,0,12.9032
list-length,0.192,0.193,0.197,0.191,100.5235602,101.0471204,103.1413613,0,0,0,13.6364
list-map,0.266,0.255,0.279,0.218,122.0183486,116.9724771,127.9816514,5.0715,8.1724,5.0715,19.0065
list-map-2,{timeout},0.26,0.294,0.226,{---},115.0442478,130.0884956,0.0508,9.2992,6.1005,17.87
list-map-3,{timeout},0.274,0.318,0.232,{---},118.1034483,137.0689655,4.9635,10.5389,7.4707,19.7552
list-map-4,{timeout},0.277,0.345,0.231,{---},119.9134199,149.3506494,4.7619,10.1852,7.2464,19.7552
list-nth,0.318,0.322,0.336,0.224,141.9642857,143.75,150,0,0,0,12.7222
list-rev-append,3.264,3.292,3.273,3.309,98.64007253,99.48624962,98.91205802,91.9129,91.9129,91.9129,92.6191
list-rev-fold,0.282,0.278,0.281,0.281,100.3558719,98.93238434,100,86.9222,86.9222,86.9222,86.9222
list-rev-snoc,0.266,0.262,0.267,0.264,100.7575758,99.24242424,101.1363636,82.3427,82.3427,82.3427,83.1866
list-rev-tailcall,0.287,0.283,0.291,0.226,126.9911504,125.2212389,128.7610619,7.9525,7.9525,7.9525,21.2082
list-snoc,0.239,0.237,0.244,0.213,112.2065728,111.2676056,114.5539906,0,0,0,11.9241
list-insertion-sort,0.286,0.287,0.288,0.279,102.5089606,102.8673835,103.2258065,82.0293,82.0293,82.0293,83.2851
list-sorted-insert,1.513,1.496,1.549,0.834,181.4148681,179.3764988,185.7314149,8.6883,8.6883,8.6883,37.9841
list-stutter,0.2,0.195,0.195,0.194,103.0927835,100.5154639,100.5154639,0,0,0,12.069
list-sum,0.341,0.33,0.33,0.332,102.7108434,99.39759036,99.39759036,93.2321,93.2321,93.2321,93.2321
list-take,23.169,23.191,0.533,0.266,8710.150376,8718.421053,200.3759398,0,0,0.0331,14.4372
list-tl,0.155,0.153,0.155,0.153,101.3071895,100,101.3071895,{---},{---},{---},{---}
list-tuple-sum,0.333,0.329,0.339,0.322,103.4161491,102.173913,105.2795031,85.4771,85.4771,85.4771,88.3948
list-tuple-swap,0.199,0.195,0.197,0.193,103.1088083,101.0362694,102.0725389,0,0,0,11.1111
list-unzip,0.208,0.208,0.211,0.196,106.122449,106.122449,107.6530612,12.7551,12.7551,12.7551,25.3623
nat-div2,0.185,0.188,0.193,0.179,103.3519553,105.027933,107.8212291,0,0,0,15.1042
nat-iseven,0.18,0.182,0.187,0.177,101.6949153,102.8248588,105.6497175,0,0,0,14.6199
nat-max,0.184,0.181,0.186,0.184,100,98.36956522,101.0869565,19.3182,19.3182,19.3182,19.3182
nat-dec,0.136,0.138,0.141,0.136,100,101.4705882,103.6764706,{---},{---},{---},{---}
nat-sum,0.207,0.204,0.209,0.184,112.5,110.8695652,113.5869565,0,0,0,9.0909
tree-binsert,2.871,2.839,2.943,1.463,196.2406015,194.0533151,201.1619959,8.0319,8.0319,8.0319,37.2641
tree-collect-leaves,0.501,0.503,0.508,0.483,103.7267081,104.1407867,105.1759834,93.83,93.83,93.83,94.5744
tree-count-leaves,0.338,0.338,0.338,0.333,101.5015015,101.5015015,101.5015015,89.9962,89.9962,89.9962,90.3844
tree-count-nodes,0.398,0.395,0.408,0.392,101.5306122,100.7653061,104.0816327,91.107,91.107,91.107,92.3377
tree-inorder,0.491,0.486,0.487,0.473,103.8054968,102.7484144,102.9598309,93.8442,93.8442,93.8442,94.5888
tree-map,0.26,0.24,0.265,0.22,118.1818182,109.0909091,120.4545455,0.1466,2.8814,0.1466,14.6237
tree-postorder,17.011,16.791,16.803,16.838,101.0274379,99.72086946,99.79213683,96.8321,96.8321,96.8321,97.1123
tree-preorder,0.424,0.409,0.415,0.403,105.2109181,101.4888337,102.9776675,92.8144,92.8144,92.8144,93.6606
